dataset,dimred,n_samples,d,n_clusters,seed,pipeline,sp_amount,silhouette,ari,nmi,time_dimred_sec,time_kmeans_sec,time_total_sec
fashion_mnist,pca,10000,2,10,52,raw,0.05,0.3812622129917145,0.2629683325082483,0.42043741896470327,0.19017620000158786,0.01226429999951506,0.20244050000110292
fashion_mnist,pca,10000,2,10,62,raw,0.05,0.40712034702301025,0.27637508887562245,0.4202819522233401,0.19249819999822648,0.01009179999891785,0.20258999999714433
fashion_mnist,pca,10000,5,10,42,raw,0.05,0.31772831082344055,0.3448364829327732,0.484093510650727,0.18665409999812255,0.018712600001890678,0.20536670000001322
fashion_mnist,pca,10000,5,10,52,raw,0.05,0.32260921597480774,0.34713109039561413,0.47566249396469185,0.19011139999929583,0.01330729999972391,0.20341869999901974
fashion_mnist,pca,10000,5,10,62,raw,0.05,0.3083057105541229,0.3002064132568016,0.45978662486395666,0.18678599999839207,0.011714000000210945,0.19849999999860302
fashion_mnist,pca,10000,10,10,42,raw,0.05,0.2626550495624542,0.3379792918339143,0.4907847907898493,0.18482090000179596,0.013823000001139008,0.19864390000293497
fashion_mnist,pca,10000,10,10,52,raw,0.05,0.2670776844024658,0.3453609790619086,0.49187921468787427,0.18863129999954253,0.013964099998702295,0.20259539999824483
fashion_mnist,pca,10000,10,10,62,raw,0.05,0.2675202190876007,0.34435885221718765,0.4990658292247089,0.18678490000093007,0.01383440000063274,0.2006193000015628
fashion_mnist,pca,10000,20,10,42,raw,0.05,0.21392932534217834,0.38800386448289426,0.5241550537147163,0.18598629999905825,0.017841799999587238,0.20382809999864548
fashion_mnist,pca,10000,20,10,52,raw,0.05,0.23142974078655243,0.3937372300062576,0.5306541269665512,0.19619170000078157,0.015948799999023322,0.2121404999998049
fashion_mnist,pca,10000,20,10,62,raw,0.05,0.23556764423847198,0.33893583004505135,0.5276177824065826,0.18868690000090282,0.014710899999045068,0.2033977999999479
fashion_mnist,pca,10000,50,10,42,raw,0.05,0.16261222958564758,0.38767006750914956,0.5284858503102462,0.1674444999989646,0.0285887999998522,0.1960332999988168
fashion_mnist,pca,10000,50,10,52,raw,0.05,0.17212232947349548,0.3429827132091184,0.4915913820557327,0.1894243999995524,0.023677599998336518,0.21310199999788892
fashion_mnist,pca,10000,50,10,62,raw,0.05,0.1668243110179901,0.33718647121725925,0.4909432693647758,0.18316939999931492,0.02549170000202139,0.2086611000013363
fashion_mnist,pca,10000,2,10,42,sharpen_hog,0.05,0.35437214374542236,0.2745687572485695,0.46597745104156574,0.12246529999902123,0.010988300000462914,0.13345359999948414
fashion_mnist,pca,10000,2,10,52,sharpen_hog,0.05,0.3835963010787964,0.29044669458428324,0.4572064670392069,0.12785340000118595,0.011623700000200188,0.13947710000138613
fashion_mnist,pca,10000,2,10,62,sharpen_hog,0.05,0.3565898537635803,0.2709530494290858,0.4608249277070426,0.12198139999964042,0.012130499999329913,0.13411189999897033
fashion_mnist,pca,10000,5,10,42,sharpen_hog,0.05,0.3095140755176544,0.3837441416537782,0.5580927364755925,0.1395708999989438,0.013482099999237107,0.1530529999981809
fashion_mnist,pca,10000,5,10,52,sharpen_hog,0.05,0.3169613778591156,0.38664482314302007,0.5539475546634204,0.14382010000190348,0.011422999999922467,0.15524310000182595
fashion_mnist,pca,10000,5,10,62,sharpen_hog,0.05,0.3150199353694916,0.37332312764174574,0.5482657583284867,0.1266034000000218,0.012791400000423891,0.13939480000044568
fashion_mnist,pca,10000,10,10,42,sharpen_hog,0.05,0.26138827204704285,0.4086560100117099,0.5904608543685735,0.17114460000084364,0.01729219999833731,0.18843679999918095
fashion_mnist,pca,10000,10,10,52,sharpen_hog,0.05,0.2614513337612152,0.44271266801620734,0.5836791121928968,0.17191859999729786,0.02894419999938691,0.20086279999668477
fashion_mnist,pca,10000,10,10,62,sharpen_hog,0.05,0.2458827942609787,0.36926321416247665,0.5695739984303912,0.18036779999965802,0.02261999999973341,0.20298779999939143
fashion_mnist,pca,10000,20,10,42,sharpen_hog,0.05,0.1723109930753708,0.42042341393810434,0.615650572035819,0.2157005000008212,0.03677420000167331,0.2524747000024945
fashion_mnist,pca,10000,20,10,52,sharpen_hog,0.05,0.18890374898910522,0.41589979641773395,0.5886577560117846,0.26405370000065886,0.027479199998197146,0.291532899998856
fashion_mnist,pca,10000,20,10,62,sharpen_hog,0.05,0.18768468499183655,0.409468478423375,0.5880929037989171,0.22884010000052513,0.023107799999706913,0.25194790000023204
fashion_mnist,pca,10000,50,10,42,sharpen_hog,0.05,0.11267198622226715,0.4203645428873407,0.6015268942275164,0.42020460000276216,0.03517420000207494,0.4553788000048371
fashion_mnist,pca,10000,50,10,52,sharpen_hog,0.05,0.11374952644109726,0.41855431531051246,0.5904177484857547,0.38787410000077216,0.04675920000227052,0.4346333000030427
fashion_mnist,pca,10000,50,10,62,sharpen_hog,0.05,0.08658971637487411,0.4218746526833663,0.5833964946793616,0.4689088000013726,0.043703999999706866,0.5126128000010794
fashion_mnist,umap,10000,2,10,42,raw,0.05,0.4964757263660431,0.4648940931132167,0.59788944117939,4.716489200000069,0.014288699996541254,4.73077789999661
fashion_mnist,umap,10000,2,10,52,raw,0.05,0.48494893312454224,0.3927057116329168,0.573714864261103,2.9975616999981867,0.014379600001120707,3.0119412999993074
fashion_mnist,umap,10000,2,10,62,raw,0.05,0.5234400629997253,0.4523607850761047,0.6147967979779356,2.7840024000033736,0.014070599998376565,2.79807300000175
fashion_mnist,umap,10000,5,10,42,raw,0.05,0.5474657416343689,0.4490905144759959,0.6147173325765057,3.5013488000004145,0.014842699998553144,3.5161914999989676
fashion_mnist,umap,10000,5,10,52,raw,0.05,0.5410191416740417,0.4580263165189767,0.6108189995741048,3.400993799998105,0.01482160000159638,3.415815399999701
fashion_mnist,umap,10000,5,10,62,raw,0.05,0.532271683216095,0.4550914117210589,0.6186944436409292,3.4173371000033512,0.017705000002024462,3.4350421000053757
fashion_mnist,umap,10000,10,10,42,raw,0.05,0.49601903557777405,0.4698252892641851,0.6052971642118498,3.585305199998402,0.019509800000378164,3.60481499999878
fashion_mnist,umap,10000,10,10,52,raw,0.05,0.4512569308280945,0.41810335946786853,0.5791087597927593,3.336634499999491,0.017154500001197448,3.3537890000006882
fashion_mnist,umap,10000,10,10,62,raw,0.05,0.5216982960700989,0.48178624724401903,0.6005500244578585,3.450479600000108,0.017727099999319762,3.4682066999994277
fashion_mnist,umap,10000,20,10,42,raw,0.05,0.4984619617462158,0.45665082313849886,0.6050460477888292,3.7034567999980936,0.019572000001062406,3.723028799999156
fashion_mnist,umap,10000,20,10,52,raw,0.05,0.5355466604232788,0.4724548295017588,0.6127704987986775,3.9519414999995206,0.019854699999996228,3.971796199999517
fashion_mnist,umap,10000,20,10,62,raw,0.05,0.5076867938041687,0.45562687243731925,0.6011961702994193,3.6028373000008287,0.021863599999051075,3.6247008999998798
fashion_mnist,umap,10000,50,10,42,raw,0.05,0.4957030415534973,0.46924663570006614,0.6047627679723917,4.554971800000203,0.02929539999968256,4.584267199999886
fashion_mnist,umap,10000,50,10,52,raw,0.05,0.504340648651123,0.4600500561371589,0.5973112035269109,4.751150800002506,0.03006930000265129,4.781220100005157
fashion_mnist,umap,10000,50,10,62,raw,0.05,0.5174452066421509,0.4447974583848248,0.613016205928949,4.602076999999554,0.028226800000993535,4.630303800000547
fashion_mnist,umap,10000,2,10,42,sharpen_hog,0.05,0.48974332213401794,0.44059892409588575,0.5903544550833194,2.7188225999998394,0.01404769999862765,2.732870299998467
fashion_mnist,umap,10000,2,10,52,sharpen_hog,0.05,0.4796190857887268,0.3972280067419926,0.562961614598945,2.867300099998829,0.014429200000449782,2.8817292999992787
fashion_mnist,umap,10000,2,10,62,sharpen_hog,0.05,0.5006093978881836,0.397084129474923,0.6032234640115355,2.7780749000012293,0.013797100000374485,2.7918720000016037
fashion_mnist,umap,10000,5,10,42,sharpen_hog,0.05,0.5247979760169983,0.41800120872106655,0.6268440870712501,3.090892000000167,0.01615999999921769,3.107051999999385
fashion_mnist,umap,10000,5,10,52,sharpen_hog,0.05,0.4913191497325897,0.41947288170891794,0.5928884203949787,3.076142499998241,0.01748539999971399,3.093627899997955
fashion_mnist,umap,10000,5,10,62,sharpen_hog,0.05,0.48790380358695984,0.4166628874516066,0.5955216390322368,2.9971549000001687,0.0142530999983137,3.0114079999984824
fashion_mnist,umap,10000,10,10,42,sharpen_hog,0.05,0.47862499952316284,0.4283754521175825,0.6091895423937826,3.2640670999971917,0.01706709999780287,3.2811341999949946
fashion_mnist,umap,10000,10,10,52,sharpen_hog,0.05,0.44608446955680847,0.39847566641677096,0.5705432460980083,4.08562449999954,0.017246700001123827,4.1028712000006635
fashion_mnist,umap,10000,10,10,62,sharpen_hog,0.05,0.48661020398139954,0.4166658552895381,0.5955972887048372,3.552686099999846,0.018329399998037843,3.571015499997884
fashion_mnist,umap,10000,20,10,42,sharpen_hog,0.05,0.48687851428985596,0.4006603149594424,0.5985781384672737,3.5634836000026553,0.019499499998346437,3.5829831000010017
fashion_mnist,umap,10000,20,10,52,sharpen_hog,0.05,0.4745471775531769,0.4391864127569001,0.5887656751056712,3.4790505999990273,0.02024829999936628,3.4992988999983936
fashion_mnist,umap,10000,20,10,62,sharpen_hog,0.05,0.48312753438949585,0.4385053781138287,0.6009506984447845,3.5361856000017724,0.01932949999900302,3.5555151000007754
fashion_mnist,umap,10000,50,10,42,sharpen_hog,0.05,0.47812461853027344,0.426934918760329,0.6073947140950036,4.5765998999995645,0.029075799997372087,4.605675699996937
fashion_mnist,umap,10000,50,10,52,sharpen_hog,0.05,0.4914611876010895,0.4201684635589493,0.5934897012252999,4.533585500001209,0.029845199998817407,4.563430700000026
fashion_mnist,umap,10000,50,10,62,sharpen_hog,0.05,0.4883546531200409,0.437892980322801,0.5995931194013961,4.551267099999677,0.03167150000081165,4.582938600000489
