dataset,pipeline,sp_amount,dimred,d,n_samples,n_clusters,silhouette_mean,silhouette_std,ari_mean,ari_std,nmi_mean,nmi_std,time_total_sec_mean,time_total_sec_std,time_dimred_sec_mean,time_dimred_sec_std,time_kmeans_sec_mean,time_kmeans_sec_std
fashion_mnist,raw,0.05,pca,2,10000,10,0.39483733971913654,0.012977401640877406,0.2668494410108276,0.008296438846410726,0.4196362663169937,0.0012554078333532124,0.19415379999918514,0.014482649131516583,0.18338789999931274,0.013817453907809826,0.010765899999872394,0.0012998238069164031
fashion_mnist,raw,0.05,pca,5,10000,10,0.3162144124507904,0.007270934124438519,0.33072466219506297,0.026454469273553764,0.4731808764931252,0.012342001179677561,0.20242846666587866,0.0035388294346986415,0.18785049999860348,0.001959107197772945,0.014577966667275177,0.0036682483327737333
fashion_mnist,raw,0.05,pca,10,10000,10,0.26575098435084027,0.0026902729224636225,0.3425663743710035,0.0040040053951985585,0.49390994490081086,0.004498532903981629,0.20061953333424754,0.001975750007988501,0.1867457000007562,0.0019055024313070275,0.013873833333491348,7.83807574175143e-05
fashion_mnist,raw,0.05,pca,20,10000,10,0.2269755701224009,0.011486249970876727,0.3735589748447344,0.030121246437041532,0.5274756543626168,0.0032518669359062873,0.20645546666613276,0.004928082033199353,0.19028830000024755,0.0052878075576953,0.016167166665885208,0.0015768312224984688
fashion_mnist,raw,0.05,pca,50,10000,10,0.16718629002571106,0.00476537213349956,0.35594641731184246,0.027625922458587276,0.5036735005769183,0.02149056855883022,0.20593213333268068,0.008855539183107724,0.18001276666594399,0.011324851059063485,0.025919366666736703,0.002483373803075857
fashion_mnist,raw,0.05,umap,2,10000,10,0.5016215741634369,0.019754786304400012,0.4366535299407461,0.03857238653624851,0.5954670344728096,0.020647817322119597,3.5135973999992225,1.0595193200769768,3.4993511000005433,1.0594672054888772,0.01424629999867951,0.00015880355880136006
fashion_mnist,raw,0.05,umap,5,10000,10,0.5402521888415018,0.00762600913256637,0.4540694142386772,0.004554722678531661,0.6147435919305132,0.00393778770094004,3.4556830000013483,0.053276405915268804,3.4398932333339567,0.05384575999544378,0.01578976666739133,0.0016586742739414983
fashion_mnist,raw,0.05,umap,10,10000,10,0.48965808749198914,0.03564888118443416,0.45657163199202416,0.03384704008023999,0.594985316154156,0.01395287122363824,3.4756035666662988,0.12567636371301522,3.4574730999993335,0.12448277407403192,0.018130466666965123,0.0012283680323749322
fashion_mnist,raw,0.05,umap,20,10000,10,0.5138984719912211,0.019306926954250545,0.46157750835919237,0.009433939007037562,0.606337572295642,0.00589425964103709,3.7731752999995174,0.17889882732196483,3.752745199999481,0.17969542396845903,0.02043010000003657,0.0012494684900909807
fashion_mnist,raw,0.05,umap,50,10000,10,0.5058296322822571,0.010947293723834456,0.45803138340734995,0.012348961395217944,0.6050300591427505,0.00785591233017015,4.665263700001863,0.10302551703921775,4.636066533334088,0.10241101646161138,0.029197166667775793,0.0009251696626296896
